,School,Link,GameLogs,Pace,ELO
36,Cal State Fullerton,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026-gamelogs.html,76.1,1283.56
37,Cal State Northridge,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026-gamelogs.html,75.5,1370.24
38,California,https://www.sports-reference.com/cbb/schools/california/men/2026.html,https://www.sports-reference.com/cbb/schools/california/men/2026-gamelogs.html,69.1,1505.98
39,California Baptist,https://www.sports-reference.com/cbb/schools/california-baptist/men/2026.html,https://www.sports-reference.com/cbb/schools/california-baptist/men/2026-gamelogs.html,67.1,1435.81
40,Campbell,https://www.sports-reference.com/cbb/schools/campbell/men/2026.html,https://www.sports-reference.com/cbb/schools/campbell/men/2026-gamelogs.html,70.8,1242.54
41,Canisius,https://www.sports-reference.com/cbb/schools/canisius/men/2026.html,https://www.sports-reference.com/cbb/schools/canisius/men/2026-gamelogs.html,64.5,1061.74
42,Central Arkansas,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2026.html,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2026-gamelogs.html,69.9,1375.17
43,Central Connecticut State,https://www.sports-reference.com/cbb/schools/central-connecticut-state/men/2026.html,https://www.sports-reference.com/cbb/schools/central-connecticut-state/men/2026-gamelogs.html,66.1,1257.7
44,Central Michigan,https://www.sports-reference.com/cbb/schools/central-michigan/men/2026.html,https://www.sports-reference.com/cbb/schools/central-michigan/men/2026-gamelogs.html,69.4,1171.26
45,Charleston Southern,https://www.sports-reference.com/cbb/schools/charleston-southern/men/2026.html,https://www.sports-reference.com/cbb/schools/charleston-southern/men/2026-gamelogs.html,74.0,1177.92
46,Charlotte,https://www.sports-reference.com/cbb/schools/charlotte/men/2026.html,https://www.sports-reference.com/cbb/schools/charlotte/men/2026-gamelogs.html,64.4,1307.7
47,Chattanooga,https://www.sports-reference.com/cbb/schools/chattanooga/men/2026.html,https://www.sports-reference.com/cbb/schools/chattanooga/men/2026-gamelogs.html,68.2,1218.73
48,Chicago State,https://www.sports-reference.com/cbb/schools/chicago-state/men/2026.html,https://www.sports-reference.com/cbb/schools/chicago-state/men/2026-gamelogs.html,66.1,1018.09
49,Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/men/2026.html,https://www.sports-reference.com/cbb/schools/cincinnati/men/2026-gamelogs.html,69.4,1554.93
50,Clemson,https://www.sports-reference.com/cbb/schools/clemson/men/2026.html,https://www.sports-reference.com/cbb/schools/clemson/men/2026-gamelogs.html,65.6,1583.97
51,Cleveland State,https://www.sports-reference.com/cbb/schools/cleveland-state/men/2026.html,https://www.sports-reference.com/cbb/schools/cleveland-state/men/2026-gamelogs.html,71.6,1171.87
52,Coastal Carolina,https://www.sports-reference.com/cbb/schools/coastal-carolina/men/2026.html,https://www.sports-reference.com/cbb/schools/coastal-carolina/men/2026-gamelogs.html,68.9,1373.75
53,Colgate,https://www.sports-reference.com/cbb/schools/colgate/men/2026.html,https://www.sports-reference.com/cbb/schools/colgate/men/2026-gamelogs.html,66.9,1216.04
54,College of Charleston,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2026.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2026-gamelogs.html,68.8,1488.76
55,Colorado,https://www.sports-reference.com/cbb/schools/colorado/men/2026.html,https://www.sports-reference.com/cbb/schools/colorado/men/2026-gamelogs.html,70.1,1469.93
56,Colorado State,https://www.sports-reference.com/cbb/schools/colorado-state/men/2026.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2026-gamelogs.html,64.3,1501.47
57,Columbia,https://www.sports-reference.com/cbb/schools/columbia/men/2026.html,https://www.sports-reference.com/cbb/schools/columbia/men/2026-gamelogs.html,67.6,1238.9
58,Connecticut,https://www.sports-reference.com/cbb/schools/connecticut/men/2026.html,https://www.sports-reference.com/cbb/schools/connecticut/men/2026-gamelogs.html,66.4,1800.46
59,Coppin State,https://www.sports-reference.com/cbb/schools/coppin-state/men/2026.html,https://www.sports-reference.com/cbb/schools/coppin-state/men/2026-gamelogs.html,69.4,1031.04
60,Cornell,https://www.sports-reference.com/cbb/schools/cornell/men/2026.html,https://www.sports-reference.com/cbb/schools/cornell/men/2026-gamelogs.html,72.4,1358.16
61,Creighton,https://www.sports-reference.com/cbb/schools/creighton/men/2026.html,https://www.sports-reference.com/cbb/schools/creighton/men/2026-gamelogs.html,68.4,1410.47
62,Dartmouth,https://www.sports-reference.com/cbb/schools/dartmouth/men/2026.html,https://www.sports-reference.com/cbb/schools/dartmouth/men/2026-gamelogs.html,69.4,1188.48
63,Davidson,https://www.sports-reference.com/cbb/schools/davidson/men/2026.html,https://www.sports-reference.com/cbb/schools/davidson/men/2026-gamelogs.html,64.9,1406.6
64,Dayton,https://www.sports-reference.com/cbb/schools/dayton/men/2026.html,https://www.sports-reference.com/cbb/schools/dayton/men/2026-gamelogs.html,68.8,1557.9
65,Delaware,https://www.sports-reference.com/cbb/schools/delaware/men/2026.html,https://www.sports-reference.com/cbb/schools/delaware/men/2026-gamelogs.html,64.0,1171.35
66,Delaware State,https://www.sports-reference.com/cbb/schools/delaware-state/men/2026.html,https://www.sports-reference.com/cbb/schools/delaware-state/men/2026-gamelogs.html,67.1,911.89
67,Denver,https://www.sports-reference.com/cbb/schools/denver/men/2026.html,https://www.sports-reference.com/cbb/schools/denver/men/2026-gamelogs.html,69.5,1220.54
68,DePaul,https://www.sports-reference.com/cbb/schools/depaul/men/2026.html,https://www.sports-reference.com/cbb/schools/depaul/men/2026-gamelogs.html,67.6,1442.19
69,Detroit Mercy,https://www.sports-reference.com/cbb/schools/detroit-mercy/men/2026.html,https://www.sports-reference.com/cbb/schools/detroit-mercy/men/2026-gamelogs.html,70.5,1319.21
70,Drake,https://www.sports-reference.com/cbb/schools/drake/men/2026.html,https://www.sports-reference.com/cbb/schools/drake/men/2026-gamelogs.html,68.2,1239.27
71,Drexel,https://www.sports-reference.com/cbb/schools/drexel/men/2026.html,https://www.sports-reference.com/cbb/schools/drexel/men/2026-gamelogs.html,66.0,1337.98
72,Duke,https://www.sports-reference.com/cbb/schools/duke/men/2026.html,https://www.sports-reference.com/cbb/schools/duke/men/2026-gamelogs.html,67.4,1862.6
73,Duquesne,https://www.sports-reference.com/cbb/schools/duquesne/men/2026.html,https://www.sports-reference.com/cbb/schools/duquesne/men/2026-gamelogs.html,70.5,1379.75
74,East Carolina,https://www.sports-reference.com/cbb/schools/east-carolina/men/2026.html,https://www.sports-reference.com/cbb/schools/east-carolina/men/2026-gamelogs.html,69.1,1280.51
75,East Tennessee State,https://www.sports-reference.com/cbb/schools/east-tennessee-state/men/2026.html,https://www.sports-reference.com/cbb/schools/east-tennessee-state/men/2026-gamelogs.html,67.2,1359.58
76,East Texas A&M,https://www.sports-reference.com/cbb/schools/texas-am-commerce/men/2026.html,https://www.sports-reference.com/cbb/schools/texas-am-commerce/men/2026-gamelogs.html,69.3,1050.0
77,Eastern Illinois,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2026.html,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2026-gamelogs.html,67.0,1090.56
78,Eastern Kentucky,https://www.sports-reference.com/cbb/schools/eastern-kentucky/men/2026.html,https://www.sports-reference.com/cbb/schools/eastern-kentucky/men/2026-gamelogs.html,69.9,1146.43
79,Eastern Michigan,https://www.sports-reference.com/cbb/schools/eastern-michigan/men/2026.html,https://www.sports-reference.com/cbb/schools/eastern-michigan/men/2026-gamelogs.html,68.4,1127.47
80,Eastern Washington,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2026.html,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2026-gamelogs.html,69.0,1263.74
81,Elon,https://www.sports-reference.com/cbb/schools/elon/men/2026.html,https://www.sports-reference.com/cbb/schools/elon/men/2026-gamelogs.html,68.1,1196.19
82,Evansville,https://www.sports-reference.com/cbb/schools/evansville/men/2026.html,https://www.sports-reference.com/cbb/schools/evansville/men/2026-gamelogs.html,67.6,1156.6
