,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
1442,Oregon,55,Nebraska,90,1,0,3,7,22,48,23,14,0,17,1389.56,1720.83,-331.27,-35
1444,Alabama,97,Mississippi State,82,0,5,4,10,37,66,34,19,12,33,1641.07,1479.75,161.31999999999994,15
1446,Florida,96,Oklahoma,79,0,5,9,17,26,71,22,18,15,19,1669.21,1411.1,258.1100000000001,17
1448,Colorado State,69,Fresno State,79,2,2,6,10,21,56,29,20,21,12,1416.88,1261.6,155.2800000000002,-10
1450,Baylor,94,Oklahoma State,79,1,4,6,9,25,59,25,13,12,14,1448.68,1497.55,-48.86999999999989,15
1452,Grand Canyon,64,New Mexico,87,0,5,7,8,21,65,27,24,9,15,1516.78,1614.09,-97.30999999999995,-23
1454,Georgetown,83,Creighton,86,0,1,3,9,23,58,16,17,5,14,1395.12,1487.53,-92.41000000000008,-3
1456,Florida State,86,Syracuse,94,0,2,8,15,18,62,27,16,9,27,1387.72,1404.49,-16.769999999999982,-8
1458,West Virginia,48,Houston,77,0,2,4,6,23,46,25,20,2,10,1541.0,1772.45,-231.45000000000005,-29
1460,Western Illinois,55,Eastern Illinois,57,1,4,7,14,26,60,15,18,9,18,937.58,1138.31,-200.7299999999999,-2
1464,Bradley,94,Evansville,90,1,3,8,11,24,68,22,23,21,26,1448.33,1160.2,288.1299999999999,4
1466,Valparaiso,74,Belmont,78,0,1,5,14,20,62,31,11,0,15,1331.49,1576.64,-245.1500000000001,-4
1468,Indiana,60,Michigan State,81,2,2,8,5,14,49,31,21,12,11,1568.65,1726.57,-157.91999999999985,-21
1470,Virginia,79,Louisville,70,0,9,4,14,30,53,34,22,0,29,1664.19,1614.63,49.559999999999945,9
1472,Boston College,50,Clemson,74,0,8,7,6,24,47,15,19,5,13,1317.58,1634.32,-316.74,-24
1474,Texas A&M,82,Tennessee,87,0,6,12,10,25,66,43,30,6,32,1624.51,1617.63,6.879999999999882,-5
1480,Dayton,71,Duquesne,65,1,4,7,6,25,46,20,17,25,28,1445.16,1313.12,132.0400000000002,6
1482,Wisconsin,78,Minnesota,75,2,5,1,6,27,55,33,19,8,18,1610.82,1407.51,203.30999999999995,3
1486,Massachusetts,85,Western Michigan,82,0,3,8,12,22,61,29,16,7,20,1319.07,1177.22,141.8499999999999,3
1488,Ohio,85,Toledo,101,0,2,5,14,13,64,23,16,12,19,1292.46,1325.26,-32.799999999999955,-16
1490,Central Michigan,61,Miami (OH),100,0,3,4,10,16,59,19,19,9,12,1115.34,1598.26,-482.9200000000001,-39
1492,Ball State,77,Akron,87,0,1,6,7,24,56,25,14,7,19,1141.5,1570.49,-428.99,-10
1494,Villanova,88,Providence,82,2,1,7,14,20,64,28,16,11,18,1575.58,1336.14,239.43999999999983,6
1498,Northern Illinois,59,Eastern Michigan,77,2,2,5,10,28,59,25,18,14,19,1107.89,1185.25,-77.3599999999999,-18
1500,Kent State,87,Buffalo,81,0,3,3,13,33,63,28,19,5,18,1470.86,1276.94,193.91999999999985,6
1502,Mississippi Valley State,51,Texas Southern,84,0,1,8,12,20,54,10,10,6,16,880.93,1131.23,-250.30000000000007,-33
1504,Jackson State,91,Alabama A&M,100,1,3,6,6,24,63,35,26,25,31,1210.76,1159.36,51.40000000000009,-9
1510,Texas A&M-Corpus Christi,61,East Texas A&M,50,2,5,6,9,29,49,14,19,2,24,1231.8,1090.49,141.30999999999995,11
1512,Delaware State,58,Howard,84,0,2,3,10,12,49,18,21,5,21,998.73,1164.9,-166.17000000000007,-26
1514,Alcorn State,66,Alabama State,81,1,2,9,10,18,61,26,18,11,16,1061.48,1131.53,-70.04999999999995,-15
1516,Grambling,84,Florida A&M,91,2,0,8,7,17,55,17,22,13,26,1128.18,1175.67,-47.49000000000001,-7
1520,Southern,77,Bethune-Cookman,73,0,2,14,17,24,66,16,18,6,30,1161.11,1270.66,-109.55000000000018,4
1524,South Carolina State,74,Coppin State,72,1,8,9,7,22,43,17,23,7,34,1100.22,958.17,142.05000000000007,2
1526,Houston Christian,56,Lamar,64,0,3,7,14,20,53,20,21,4,23,1113.27,1260.6,-147.32999999999993,-8
1530,Incarnate Word,46,Stephen F. Austin,56,0,4,3,8,28,55,13,19,5,15,1128.85,1411.9,-283.0500000000002,-10
1534,North Carolina Central,89,Morgan State,78,0,1,6,4,24,47,9,24,26,33,1100.06,1120.63,-20.570000000000164,11
1536,Ohio State,74,Washington,81,1,3,4,17,22,63,22,17,3,15,1569.78,1488.62,81.16000000000008,-7
1538,Cincinnati,72,UCF,73,0,3,9,10,17,67,19,14,15,8,1467.68,1610.01,-142.32999999999993,-1
1540,Northwestern,75,Rutgers,77,0,6,5,11,29,63,18,22,13,29,1421.44,1394.3,27.1400000000001,-2
1542,North Texas,67,Wichita State,78,0,6,13,15,16,64,10,22,16,22,1366.58,1437.96,-71.38000000000011,-11
1544,Wright State,94,Oakland,84,0,4,4,10,30,59,18,21,11,15,1357.04,1405.88,-48.840000000000146,10
1548,Charlotte,74,Rice,73,1,3,6,8,24,46,23,22,4,27,1357.23,1220.67,136.55999999999995,1
1550,UAB,87,East Carolina,85,0,2,11,12,26,77,13,18,21,21,1422.92,1202.22,220.70000000000005,2
1552,Merrimack,63,Saint Peter's,76,0,3,10,12,14,52,18,22,12,21,1391.05,1323.38,67.66999999999985,-13
1554,Quinnipiac,70,Sacred Heart,60,1,3,10,10,27,61,17,14,15,14,1351.39,1200.63,150.76,10
1556,Northern Kentucky,78,Green Bay,80,0,1,7,9,16,58,26,17,27,20,1323.48,1278.0,45.48000000000002,-2
1558,Purdue Fort Wayne,79,Robert Morris,74,1,4,5,7,23,51,24,13,6,17,1360.86,1345.59,15.269999999999982,5
1560,Siena,67,Mount St. Mary's,50,1,1,7,11,24,55,23,17,7,20,1329.38,1260.19,69.19000000000005,17
1562,Marist,71,Rider,49,2,1,6,8,32,63,21,17,15,6,1341.33,1046.52,294.80999999999995,22
1564,Niagara,70,Manhattan,79,1,5,2,8,19,55,25,14,4,7,1023.36,1137.32,-113.95999999999992,-9
1566,Memphis,78,Florida Atlantic,89,0,1,9,5,24,62,28,17,12,16,1450.87,1453.21,-2.3400000000001455,-11
1568,Cleveland State,84,Detroit Mercy,94,0,4,7,8,19,58,33,23,17,24,1211.48,1151.58,59.90000000000009,-10
1570,Canisius,48,Iona,74,0,1,9,10,20,61,18,8,8,8,1090.17,1354.38,-264.21000000000004,-26
1572,Illinois,75,Iowa,69,0,4,7,9,29,57,28,11,6,11,1737.36,1616.46,120.89999999999986,6
1574,Saint Joseph's,67,Richmond,65,1,4,5,9,33,64,31,12,10,6,1437.14,1292.52,144.62000000000012,2
1578,Fresno State,52,San Diego State,71,2,2,9,5,30,59,32,13,4,7,1261.6,1612.65,-351.0500000000002,-19
1582,Wyoming,83,Nevada,92,0,1,4,9,13,50,18,23,5,31,1306.98,1532.39,-225.41000000000008,-9
1586,Utah State,93,Boise State,68,0,3,6,12,21,58,25,22,12,21,1580.6,1504.17,76.42999999999984,25
1588,Mississippi State,68,Kentucky,92,0,4,6,9,19,56,20,12,6,14,1479.75,1630.94,-151.19000000000005,-24
1592,Texas,92,Alabama,88,0,6,6,18,30,66,24,21,11,32,1506.73,1641.07,-134.33999999999992,4
1594,San Francisco,80,Pepperdine,60,0,2,6,16,33,66,34,22,6,10,1418.17,1108.87,309.3000000000002,20
1596,Oregon State,76,Portland,82,0,3,2,6,20,47,19,24,5,33,1332.8,1233.42,99.37999999999988,-6
1598,Maryland,55,UCLA,67,2,2,4,20,28,66,33,23,0,15,1404.58,1615.41,-210.83000000000015,-12
1604,North Dakota,81,Kansas City,79,0,4,9,13,14,62,22,17,11,24,1268.34,969.67,298.66999999999996,2
1606,UC San Diego,69,UC Riverside,66,0,2,5,9,26,48,18,19,2,25,1394.03,1212.25,181.77999999999997,3
1608,Weber State,76,Northern Colorado,71,0,0,6,10,20,53,10,20,7,33,1173.37,1233.27,-59.90000000000009,5
1610,Idaho State,81,Northern Arizona,79,1,4,4,12,18,52,17,20,2,21,1176.31,1113.04,63.26999999999998,2
1612,Southern Utah,55,California Baptist,58,1,6,4,14,28,57,21,18,8,12,1124.6,1424.46,-299.8600000000001,-3
1614,Middle Tennessee,59,New Mexico State,55,2,2,7,6,32,50,19,14,16,24,1370.68,1228.12,142.56000000000017,4
1616,Texas Tech,73,Colorado,71,0,1,5,16,30,70,31,20,11,10,1756.84,1417.81,339.03,2
1618,San Diego,70,Pacific,77,0,2,5,9,23,59,27,16,3,18,1220.63,1339.2,-118.56999999999994,-7
1620,Southern,59,Florida A&M,67,1,1,12,12,20,52,20,18,15,27,1161.11,1175.67,-14.560000000000173,-8
1622,Cal State Bakersfield,75,Long Beach State,81,0,3,7,8,23,60,18,20,18,20,1141.76,1146.92,-5.160000000000082,-6
1624,Cal State Northridge,79,Cal State Fullerton,86,0,5,6,11,27,69,27,20,8,16,1325.03,1233.69,91.33999999999992,-7
1626,Incarnate Word,51,Lamar,63,0,4,5,11,21,52,16,14,10,16,1128.85,1260.6,-131.75,-12
1628,Campbell,82,Elon,83,0,3,5,10,21,61,26,14,17,17,1201.36,1320.85,-119.49000000000001,-1
1630,Seton Hall,76,Georgetown,67,1,2,8,14,27,57,14,20,14,33,1467.4,1395.12,72.2800000000002,9
1632,Arkansas,73,Auburn,95,0,3,7,8,20,58,21,18,13,21,1664.33,1640.92,23.409999999999854,-22
1634,Wake Forest,84,North Carolina,87,0,0,9,10,17,64,35,22,13,11,1428.04,1618.04,-190.0,-3
1636,Northern Iowa,69,Bradley,75,0,0,4,6,30,59,25,20,11,18,1356.14,1448.33,-92.18999999999983,-6
1638,Belmont,78,Drake,76,1,2,14,16,27,63,37,19,20,25,1576.64,1416.73,159.91000000000008,2
1642,Clemson,76,Notre Dame,61,2,1,7,8,23,58,26,15,10,18,1634.32,1411.96,222.3599999999999,15
1644,UNC Wilmington,75,Stony Brook,71,1,3,6,11,25,59,25,8,14,15,1522.73,1298.45,224.27999999999997,4
1646,Houston Christian,67,Stephen F. Austin,85,2,3,5,8,19,49,17,14,2,17,1113.27,1411.9,-298.6300000000001,-18
1654,Alcorn State,64,Alabama A&M,62,1,4,4,9,25,58,18,12,10,13,1061.48,1159.36,-97.87999999999988,2
1656,Arkansas-Pine Bluff,74,Texas Southern,66,0,2,10,7,27,57,20,17,21,16,1111.27,1131.23,-19.960000000000036,8
1658,Grambling,65,Bethune-Cookman,74,1,1,11,10,26,56,20,24,20,22,1128.18,1270.66,-142.48000000000002,-9
1664,Tulane,85,UTSA,52,0,3,12,10,29,66,42,15,13,7,1347.61,1082.68,264.92999999999984,33
1666,North Carolina Central,88,Coppin State,77,0,3,7,8,20,48,20,14,12,36,1100.06,958.17,141.89,11
1672,UC Davis,78,Cal Poly,84,1,0,6,9,28,63,28,20,10,20,1297.03,1200.65,96.37999999999988,-6
1676,Sacramento State,69,Portland State,96,0,1,8,7,18,62,21,17,16,28,1093.27,1341.13,-247.86000000000013,-27
1678,Montana State,89,Idaho,92,1,3,4,8,25,55,14,16,13,21,1303.86,1227.0,76.8599999999999,-3
1680,Montana,65,Eastern Washington,66,2,3,6,9,24,52,14,12,8,18,1389.75,1084.45,305.29999999999995,-1
1682,Florida International,71,Missouri State,79,0,3,10,12,21,63,18,21,15,19,1203.74,1273.11,-69.36999999999989,-8
1684,Jacksonville State,82,Kennesaw State,88,0,4,6,10,22,58,23,22,8,27,1364.74,1353.78,10.960000000000036,-6
1686,South Carolina State,67,Morgan State,72,0,5,4,12,25,53,16,19,9,19,1100.22,1120.63,-20.410000000000082,-5
1688,Norfolk State,66,Delaware State,64,0,2,7,6,17,47,12,16,18,21,1165.69,998.73,166.96000000000004,2
1692,Samford,79,Chattanooga,88,0,3,2,5,30,54,22,17,15,36,1252.0,1248.25,3.75,-9
1694,Texas A&M-Corpus Christi,78,Northwestern State,79,0,5,8,8,18,53,18,23,15,28,1231.8,1146.1,85.70000000000005,-1
1696,Tennessee Tech,59,Western Illinois,54,0,3,6,11,20,57,16,22,12,14,1029.28,937.58,91.69999999999993,5
1698,Little Rock,82,Lindenwood,74,2,4,11,14,19,62,16,11,19,14,1196.72,1208.69,-11.970000000000027,8
1700,Tennessee State,70,Eastern Illinois,74,0,8,6,11,24,59,23,15,12,22,1313.36,1138.31,175.04999999999995,-4
1702,Arizona,86,TCU,73,0,2,8,10,28,67,16,21,23,15,1826.82,1510.74,316.0799999999999,13
1704,Oklahoma State,71,Iowa State,83,0,3,5,3,23,48,22,21,6,26,1497.55,1713.44,-215.8900000000001,-12
1706,Valparaiso,79,Murray State,92,1,4,6,10,25,58,16,21,7,22,1331.49,1444.73,-113.24000000000001,-13
1708,Saint Louis,84,La Salle,72,0,2,5,8,26,51,23,25,16,22,1636.71,1244.31,392.4000000000001,12
1710,Jackson State,75,Alabama State,64,1,3,10,13,28,58,19,17,16,32,1210.76,1131.53,79.23000000000002,11
1714,Providence,84,Xavier,97,0,4,1,8,33,69,32,16,16,21,1336.14,1418.8,-82.65999999999985,-13
1716,California,75,Virginia Tech,78,1,2,6,12,19,56,20,28,0,21,1485.28,1535.9,-50.62000000000012,-3
1720,UNC Greensboro,60,East Tennessee State,86,0,1,5,13,23,53,20,11,15,25,1202.61,1350.19,-147.58000000000015,-26
1722,Old Dominion,69,James Madison,70,1,3,11,9,21,62,23,19,12,20,1213.91,1332.61,-118.69999999999982,-1
1724,Marshall,73,Georgia State,81,1,3,8,14,20,61,30,33,11,22,1324.68,1243.87,80.81000000000017,-8
1726,Lipscomb,84,Florida Gulf Coast,77,1,4,4,7,23,55,27,15,10,21,1376.51,1208.3,168.21000000000004,7
1728,Central Arkansas,75,Eastern Kentucky,79,1,0,9,12,26,63,33,14,15,15,1233.52,1137.52,96.0,-4
1730,Utah Tech,76,Utah Valley,92,2,4,10,9,22,55,18,18,7,20,1246.11,1443.96,-197.85000000000014,-16
1732,Western Kentucky,68,UTEP,56,0,4,13,17,27,64,19,15,11,22,1277.0,1188.32,88.68000000000006,12
1734,Ball State,71,Massachusetts,79,1,1,10,6,22,56,23,22,8,18,1141.5,1319.07,-177.56999999999994,-8
1736,Oklahoma,76,Texas A&M,83,2,3,4,16,27,62,31,22,5,16,1411.1,1624.51,-213.41000000000008,-7
1738,Southeast Missouri State,69,Morehead State,71,1,1,8,11,13,57,21,19,10,21,1274.69,1240.73,33.960000000000036,-2
1740,Liberty,82,Sam Houston,74,1,6,8,2,21,51,18,14,10,23,1586.41,1415.44,170.97000000000003,8
1744,South Florida,93,Tulsa,78,1,3,10,14,27,67,42,24,12,19,1472.42,1498.8,-26.37999999999988,15
1746,Kansas State,84,Arizona State,87,1,3,7,16,18,70,31,27,23,21,1406.21,1433.83,-27.61999999999989,-3
1748,Presbyterian,70,Longwood,77,0,3,4,7,19,50,21,13,0,16,1185.99,1188.89,-2.900000000000091,-7
1750,New Mexico,91,Air Force,49,1,3,16,14,27,67,36,18,15,16,1614.09,1052.74,561.3499999999999,42
1752,Kent State,85,Central Michigan,87,0,3,5,22,27,73,34,20,6,17,1470.86,1115.34,355.52,-2
1756,Texas State,82,Arkansas State,83,0,0,11,8,24,61,11,24,8,19,1254.2,1340.45,-86.25,-1
1758,West Georgia,43,Jacksonville,75,0,3,3,5,20,39,11,12,3,22,1117.36,1202.42,-85.06000000000017,-32
1760,Abilene Christian,72,UT Arlington,82,2,5,9,7,13,45,12,20,17,32,1232.99,1369.43,-136.44000000000005,-10
1762,Delaware,68,Louisiana Tech,70,1,2,4,6,26,52,24,20,0,15,1181.66,1355.08,-173.41999999999985,-2
1764,UNC Asheville,91,Radford,72,3,1,5,10,33,58,25,23,14,29,1243.7,1269.88,-26.180000000000064,19
1766,Villanova,76,Marquette,73,0,3,7,6,20,56,25,16,8,7,1575.58,1388.57,187.01,3
1768,Stanford,55,Virginia,70,6,4,7,12,21,56,26,15,11,17,1515.59,1664.19,-148.60000000000014,-15
1770,Penn State,85,Purdue,93,1,0,2,5,23,56,27,17,4,10,1322.93,1701.37,-378.4399999999998,-8
1774,Georgia,75,South Carolina,70,0,6,6,11,27,62,27,17,18,22,1551.42,1393.94,157.48000000000002,5
1776,Dartmouth,102,Cornell,91,0,5,7,8,25,68,30,19,11,19,1254.78,1345.62,-90.83999999999992,11
1778,Lehigh,78,Colgate,77,1,5,5,14,21,59,19,16,6,26,1132.58,1291.69,-159.11000000000013,1
1780,Rhode Island,70,Davidson,45,0,3,5,3,27,48,19,18,6,10,1428.69,1371.42,57.26999999999998,25
1782,Winthrop,71,South Carolina Upstate,50,3,6,10,18,31,62,31,15,12,19,1407.07,1109.33,297.74,21
1784,High Point,84,Charleston Southern,82,1,4,5,16,34,69,18,20,6,40,1484.49,1124.81,359.68000000000006,2
1788,Syracuse,83,Pittsburgh,72,1,1,7,6,22,52,22,14,12,18,1404.49,1355.73,48.75999999999999,11
1790,Lafayette,50,Navy,76,1,3,5,8,27,53,28,26,6,17,1057.31,1344.01,-286.70000000000005,-26
1792,Denver,72,South Dakota,82,1,0,3,11,25,65,23,15,4,13,1133.67,1237.53,-103.8599999999999,-10
1794,North Dakota State,78,Omaha,76,0,4,6,5,16,54,24,14,7,11,1454.82,1249.39,205.42999999999984,2
1796,Yale,60,Princeton,76,0,0,5,13,17,65,29,21,5,15,1524.75,1252.82,271.93000000000006,-16
1798,Buffalo,80,Ohio,91,0,3,10,15,11,67,25,18,10,22,1276.94,1292.46,-15.519999999999982,-11
1800,Harvard,79,Columbia,54,0,4,13,10,22,55,21,13,5,11,1309.1,1277.53,31.569999999999936,25
1802,Brown,73,Pennsylvania,81,1,2,6,9,21,60,20,23,14,12,1195.45,1249.03,-53.57999999999993,-8
1804,Chicago State,82,Stonehill,85,2,1,11,5,19,64,17,22,14,21,918.67,1104.8,-186.13,-3
1808,Maine,74,NJIT,70,1,1,5,5,27,45,20,17,11,24,1096.06,1160.31,-64.25,4
1812,William & Mary,58,Drexel,64,1,3,15,10,18,60,23,15,15,12,1358.54,1320.67,37.86999999999989,-6
1814,Towson,87,Northeastern,78,1,1,3,13,28,56,12,19,4,18,1355.75,1168.08,187.67000000000007,9
1816,Monmouth,64,Hofstra,67,1,3,5,8,30,57,23,21,6,23,1290.31,1280.5,9.809999999999945,-3
1818,Wofford,97,Mercer,109,0,3,8,13,16,68,32,24,8,22,1401.04,1319.74,81.29999999999995,-12
1820,VMI,48,Furman,69,4,2,16,13,19,56,31,14,12,13,1007.63,1393.03,-385.4,-21
1822,Georgia Southern,71,South Alabama,87,0,4,7,11,19,64,45,23,11,22,1299.91,1408.04,-108.12999999999988,-16
1826,North Alabama,82,Bellarmine,73,0,1,6,10,22,50,21,15,4,22,1128.68,1115.89,12.789999999999964,9
1828,Austin Peay,81,Stetson,69,0,1,12,8,28,58,19,16,15,32,1337.08,1131.14,205.93999999999983,12
1830,Wisconsin,91,Michigan,88,0,4,5,8,22,58,33,18,4,23,1610.82,1808.16,-197.34000000000015,3
1832,Houston,77,Baylor,55,1,5,7,23,22,74,39,24,6,13,1772.45,1448.68,323.77,22
1836,Evansville,72,Indiana State,69,0,6,7,2,29,58,22,13,6,4,1160.2,1236.05,-75.84999999999991,3
1838,Army,91,Boston University,100,1,2,5,11,14,66,34,17,2,15,1129.72,1100.96,28.75999999999999,-9
1840,Eastern Michigan,62,Western Michigan,79,1,2,6,6,19,56,26,19,13,10,1185.25,1177.22,8.029999999999973,-17
1842,Mercyhurst,70,Wagner,69,1,7,6,1,27,49,13,14,4,21,1196.36,976.85,219.50999999999988,1
1850,Western Carolina,77,The Citadel,79,1,3,8,12,24,68,30,22,8,16,1182.65,1068.57,114.08000000000015,-2
1852,Troy,90,Louisiana,70,0,1,0,18,24,63,29,11,0,11,1456.41,1164.33,292.08000000000015,20
1858,Nebraska,83,Indiana,77,1,0,9,9,22,60,34,12,10,14,1720.83,1568.65,152.17999999999984,6
1860,Boston College,62,Louisville,75,2,1,6,7,24,63,28,19,7,16,1317.58,1614.63,-297.0500000000002,-13
1862,Tennessee,67,Florida,91,0,4,7,6,24,49,15,19,13,29,1617.63,1669.21,-51.57999999999993,-24
1864,Kansas,75,West Virginia,86,0,5,7,10,22,61,27,23,19,18,1674.85,1541.0,133.8499999999999,-11
1868,Fordham,81,St. Bonaventure,77,1,0,9,8,20,58,19,13,19,18,1236.68,1375.68,-139.0,4
1872,NC State,113,Florida State,69,0,7,11,11,33,69,35,23,13,23,1587.0,1387.72,199.27999999999997,44
1878,Northern Kentucky,85,Milwaukee,67,0,1,7,18,25,65,39,16,28,16,1323.48,1262.35,61.13000000000011,18
1882,Rider,62,Fairfield,68,1,1,3,10,27,55,16,18,10,18,1046.52,1238.99,-192.47000000000003,-6
1884,Cleveland State,74,Oakland,97,0,2,9,18,21,75,27,21,12,10,1211.48,1405.88,-194.4000000000001,-23
1886,Wright State,84,Detroit Mercy,82,0,5,3,7,21,52,16,26,11,28,1357.04,1151.58,205.46000000000004,2
1890,Merrimack,63,Siena,59,0,4,10,10,15,51,20,16,6,13,1391.05,1329.38,61.669999999999845,4
1892,Saint Peter's,65,Mount St. Mary's,70,1,4,10,20,22,63,31,23,17,29,1323.38,1260.19,63.190000000000055,-5
1894,Niagara,53,Iona,71,0,1,5,10,20,60,27,13,8,9,1023.36,1354.38,-331.0200000000001,-18
1896,Marist,76,Sacred Heart,72,0,2,8,9,21,55,19,18,9,14,1341.33,1200.63,140.69999999999982,4
1898,Canisius,70,Manhattan,64,1,6,6,14,28,62,17,12,10,18,1090.17,1137.32,-47.149999999999864,6
1900,Miami (OH),87,Toledo,73,2,5,7,8,28,63,31,17,8,8,1598.26,1325.26,273.0,14
1904,Santa Clara,77,Gonzaga,89,2,3,7,13,18,65,26,20,9,16,1575.11,1743.3,-168.19000000000005,-12
1908,Ohio State,72,Oregon,62,1,5,5,13,28,53,18,20,6,23,1569.78,1389.56,180.22000000000003,10
1912,Pacific,89,Portland,90,1,2,5,17,22,66,22,17,5,26,1339.2,1233.42,105.77999999999997,-1
1914,Cal Poly,90,Cal State Northridge,95,0,2,12,10,22,70,44,20,20,21,1200.65,1325.03,-124.37999999999988,-5
1916,Long Beach State,64,UC Irvine,74,0,3,5,7,28,60,14,20,13,13,1146.92,1480.4,-333.48,-10
1918,Cal State Fullerton,88,UC San Diego,71,1,2,11,6,22,58,29,18,18,24,1233.69,1394.03,-160.33999999999992,17
1920,Utah Tech,72,California Baptist,84,0,3,4,9,16,54,18,17,10,18,1246.11,1424.46,-178.35000000000014,-12
1922,Pepperdine,63,San Diego,83,1,2,7,7,17,45,23,13,15,29,1108.87,1220.63,-111.76000000000022,-20
1924,UC Riverside,66,Cal State Bakersfield,67,0,6,6,9,24,56,22,20,4,16,1212.25,1141.76,70.49000000000001,-1
1926,UC Davis,93,UC Santa Barbara,86,0,4,8,8,25,58,32,20,11,24,1297.03,1384.98,-87.95000000000005,7
1928,Montana,79,Idaho,73,0,1,6,4,28,52,24,25,13,22,1389.75,1227.0,162.75,6
1930,Montana State,68,Eastern Washington,64,2,5,5,11,25,48,20,18,8,21,1303.86,1084.45,219.40999999999985,4
1932,Middle Tennessee,80,UTEP,83,3,4,5,7,25,59,25,28,12,17,1370.68,1188.32,182.36000000000013,-3
1934,Western Kentucky,64,New Mexico State,80,0,5,5,18,22,68,22,22,14,23,1277.0,1228.12,48.88000000000011,-16
1938,Rutgers,55,Illinois,81,0,5,5,9,23,63,22,20,8,8,1394.3,1737.36,-343.05999999999995,-26
1940,Tennessee State,90,Western Illinois,68,0,2,9,10,27,61,17,22,9,23,1313.36,937.58,375.77999999999986,22
1942,Southeast Missouri State,84,Southern Indiana,76,0,6,10,7,22,54,14,20,14,28,1274.69,1001.13,273.56000000000006,8
1944,Little Rock,73,SIU Edwardsville,70,0,0,11,16,18,60,18,13,5,25,1196.72,1253.21,-56.49000000000001,3
1946,Tennessee Tech,61,Eastern Illinois,71,1,4,1,9,22,46,20,16,6,21,1029.28,1138.31,-109.02999999999997,-10
1948,Denver,79,South Dakota State,87,1,2,6,14,20,69,24,19,5,15,1133.67,1222.32,-88.64999999999986,-8
1950,North Dakota State,97,Kansas City,73,0,4,13,15,20,66,29,18,20,19,1454.82,969.67,485.15,24
1952,North Dakota,79,Omaha,90,1,3,8,13,13,60,31,26,4,30,1268.34,1249.39,18.949999999999818,-11
1956,Weber State,78,Northern Arizona,65,0,0,4,13,26,67,29,15,2,7,1173.37,1113.04,60.32999999999993,13
1958,Idaho State,72,Northern Colorado,85,1,3,4,12,23,57,17,15,11,23,1176.31,1233.27,-56.960000000000036,-13
1960,Southern Utah,72,Utah Valley,89,1,1,8,10,19,60,23,16,7,19,1124.6,1443.96,-319.3600000000001,-17
1962,Abilene Christian,84,Tarleton State,80,0,4,5,10,20,52,17,26,7,26,1232.99,1204.34,28.65000000000009,4
1966,Delaware,60,Sam Houston,72,1,4,4,6,26,53,32,17,3,12,1181.66,1415.44,-233.77999999999997,-12
1972,Mercyhurst,58,Long Island University,60,0,3,8,9,22,55,13,17,5,7,1196.36,1301.89,-105.5300000000002,-2
1974,New Haven,47,Le Moyne,73,2,2,4,8,20,47,22,19,4,19,1066.2,1182.05,-115.84999999999991,-26
1976,New Hampshire,76,NJIT,80,0,1,2,9,24,52,19,19,15,30,1149.4,1160.31,-10.909999999999854,-4
1978,Binghamton,59,Vermont,60,0,6,3,5,27,55,20,19,0,14,958.72,1357.96,-399.24,-1
1980,UNC Wilmington,87,Northeastern,78,1,7,2,12,29,57,19,22,2,34,1522.73,1168.08,354.6500000000001,9
1982,Elon,69,North Carolina A&T,64,0,1,8,11,26,60,23,9,18,22,1320.85,1150.56,170.28999999999996,5
1984,Hampton,72,Campbell,86,1,7,6,11,24,52,14,25,26,26,1233.71,1201.36,32.350000000000136,-14
1986,William & Mary,70,Monmouth,81,0,2,6,13,25,62,24,15,11,15,1358.54,1290.31,68.23000000000002,-11
1988,Stony Brook,37,Drexel,56,1,2,7,16,21,59,27,11,3,11,1298.45,1320.67,-22.220000000000027,-19
1992,Old Dominion,70,Coastal Carolina,66,0,3,7,14,32,64,21,16,9,13,1213.91,1290.79,-76.87999999999988,4
1994,West Georgia,85,North Florida,73,0,4,8,9,24,62,21,16,14,20,1117.36,1073.09,44.26999999999998,12
1998,North Alabama,80,Eastern Kentucky,88,0,5,6,7,20,53,23,17,10,25,1128.68,1137.52,-8.839999999999918,-8
2000,Lipscomb,83,Stetson,91,1,1,5,5,28,57,21,21,17,24,1376.51,1131.14,245.3699999999999,-8
2002,Central Arkansas,78,Bellarmine,84,0,2,8,16,26,74,42,15,2,16,1233.52,1115.89,117.62999999999988,-6
2004,Austin Peay,82,Florida Gulf Coast,71,0,2,10,11,23,57,31,14,21,25,1337.08,1208.3,128.77999999999997,11
2006,Liberty,72,Louisiana Tech,56,0,5,5,9,32,54,24,11,7,16,1586.41,1355.08,231.33000000000015,16
2008,Northwestern,66,Michigan State,76,0,2,9,8,17,58,26,24,19,20,1421.44,1726.57,-305.1299999999999,-10
2016,Hofstra,78,Towson,67,0,2,5,10,26,52,23,22,2,32,1280.5,1355.75,-75.25,11
2018,Grand Canyon,75,Boise State,58,1,6,8,10,28,60,21,19,10,12,1516.78,1504.17,12.6099999999999,17
2020,Kansas State,76,Arizona,101,0,4,6,12,20,77,36,29,13,19,1406.21,1826.82,-420.6099999999999,-25
2024,Alabama,90,Vanderbilt,96,0,1,3,18,31,70,40,35,9,38,1641.07,1663.42,-22.350000000000136,-6
2028,California,60,Virginia,84,0,3,8,6,20,54,19,20,4,22,1485.28,1664.19,-178.91000000000008,-24
