,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
130,Georgia Tech,65,Virginia Tech,71,1,6,2,10,28,57,17,23,8,17,1381.48,1535.9,-154.42000000000007,-6
132,Incarnate Word,75,Houston Christian,81,0,7,8,15,18,58,24,26,24,22,1128.85,1113.27,15.579999999999927,-6
134,Western Michigan,65,Northern Illinois,85,0,3,3,15,17,52,22,15,6,27,1177.22,1107.89,69.32999999999993,-20
138,Nebraska,72,Michigan,75,0,2,13,7,16,63,32,19,2,4,1720.83,1808.16,-87.33000000000015,-3
140,Arkansas,83,Oklahoma,79,0,3,4,7,24,63,17,13,6,13,1664.33,1411.1,253.23000000000002,4
142,Virginia,100,Notre Dame,97,0,3,5,14,26,65,29,27,9,35,1664.19,1411.96,252.23000000000002,3
144,East Texas A&M,61,Lamar,82,0,3,9,13,20,64,24,12,13,17,1090.49,1260.6,-170.1099999999999,-21
148,Rhode Island,81,Dayton,76,5,4,14,10,19,53,16,25,5,36,1428.69,1445.16,-16.470000000000027,5
150,Arizona State,76,UCF,79,0,5,6,5,23,55,23,18,13,20,1433.83,1610.01,-176.18000000000006,-3
152,Syracuse,68,NC State,88,1,4,8,15,18,67,23,15,11,16,1404.49,1587.0,-182.51,-20
154,Toledo,81,Akron,91,0,2,9,7,18,56,20,12,14,13,1325.26,1570.49,-245.23000000000002,-10
156,Ohio,57,Kent State,72,1,3,13,11,20,64,31,26,6,17,1292.46,1470.86,-178.39999999999986,-15
158,Eastern Michigan,65,Central Michigan,100,1,4,1,5,20,51,19,22,5,21,1185.25,1115.34,69.91000000000008,-35
164,Michigan State,88,Rutgers,79,1,4,1,13,32,57,22,19,14,26,1726.57,1394.3,332.27,9
166,Wake Forest,76,Pittsburgh,80,0,3,5,9,28,59,24,21,3,19,1428.04,1355.73,72.30999999999995,-4
170,Northwestern State,67,Stephen F. Austin,69,2,2,8,11,29,67,16,13,7,13,1146.1,1411.9,-265.8000000000002,-2
174,Alabama State,64,Texas Southern,96,0,4,7,14,16,64,30,16,7,29,1131.53,1131.23,0.2999999999999545,-32
180,Louisville,52,Duke,83,0,3,6,9,17,54,34,17,13,13,1614.63,1802.92,-188.28999999999996,-31
182,Morgan State,79,Norfolk State,78,1,8,8,4,31,54,24,16,13,26,1120.63,1165.69,-45.059999999999945,1
184,Jackson State,66,Florida A&M,65,1,0,5,13,27,52,19,14,10,21,1210.76,1175.67,35.08999999999992,1
186,Alcorn State,73,Bethune-Cookman,82,0,1,8,12,23,67,19,18,11,12,1061.48,1270.66,-209.18000000000006,-9
188,Penn State,78,Ohio State,84,2,2,3,9,22,50,25,19,4,21,1322.93,1569.78,-246.8499999999999,-6
192,Delaware State,64,South Carolina State,70,1,2,5,9,22,57,18,22,9,26,998.73,1100.22,-101.49000000000001,-6
198,Oregon,57,Washington,72,0,5,8,1,22,42,15,12,4,28,1389.56,1488.62,-99.05999999999995,-15
200,Chicago State,59,Mercyhurst,61,0,0,6,10,22,56,23,8,2,11,918.67,1196.36,-277.68999999999994,-2
202,Florida Atlantic,75,South Florida,89,2,4,5,15,20,66,22,20,4,19,1453.21,1472.42,-19.210000000000036,-14
206,Cincinnati,68,Arizona State,82,1,3,8,13,25,60,17,16,16,15,1467.68,1433.83,33.850000000000136,-14
208,UC Irvine,61,UC San Diego,59,1,4,5,8,36,62,16,8,10,13,1480.4,1394.03,86.37000000000012,2
210,Santa Clara,85,San Diego,73,1,8,8,7,31,52,25,22,20,17,1575.11,1220.63,354.4799999999998,12
212,Southern Utah,91,Utah Tech,102,0,4,2,9,23,58,14,16,14,30,1124.6,1246.11,-121.50999999999999,-11
214,Tennessee,79,Alabama,73,0,3,7,14,28,60,18,23,7,25,1617.63,1641.07,-23.439999999999827,6
216,San Francisco,66,Gonzaga,68,1,1,4,9,32,55,28,18,5,13,1418.17,1743.3,-325.1299999999999,-2
218,Kansas,86,Kansas State,62,1,4,2,12,27,58,16,13,8,24,1674.85,1406.21,268.6399999999999,24
222,Nevada,73,New Mexico,80,0,7,6,12,30,60,23,23,11,21,1532.39,1614.09,-81.69999999999982,-7
226,California,78,Stanford,66,0,6,3,9,32,58,25,22,6,25,1485.28,1515.59,-30.309999999999945,12
228,Omaha,77,Kansas City,60,1,2,7,13,31,60,25,15,13,22,1249.39,969.67,279.72000000000014,17
230,Northern Colorado,77,Northern Arizona,81,0,1,2,14,19,58,29,14,3,7,1233.27,1113.04,120.23000000000002,-4
232,Weber State,88,Montana State,91,1,1,7,7,15,60,19,18,11,19,1173.37,1303.86,-130.49,-3
234,Utah Valley,71,California Baptist,78,0,1,7,13,22,61,20,25,5,32,1443.96,1424.46,19.5,-7
236,Grand Canyon,68,Fresno State,57,2,4,4,17,30,58,26,22,9,25,1516.78,1261.6,255.18000000000006,11
238,Lafayette,59,Lehigh,64,1,2,10,11,20,58,21,17,13,19,1057.31,1132.58,-75.26999999999998,-5
242,UC Santa Barbara,74,Long Beach State,71,1,3,3,9,22,56,19,16,1,16,1384.98,1146.92,238.05999999999995,3
244,Canisius,55,Fairfield,61,1,4,6,20,22,65,22,16,3,8,1090.17,1238.99,-148.81999999999994,-6
246,Manhattan,57,Iona,66,1,2,9,12,22,60,26,14,10,15,1137.32,1354.38,-217.06000000000017,-9
248,Cal State Fullerton,93,Cal Poly,78,3,4,10,13,20,64,32,16,14,26,1233.69,1200.65,33.039999999999964,15
250,Alcorn State,58,Florida A&M,66,1,1,12,8,18,51,15,13,7,15,1061.48,1175.67,-114.19000000000005,-8
252,Pepperdine,79,Washington State,95,0,1,6,6,19,56,17,15,3,15,1108.87,1334.53,-225.66000000000008,-16
254,TCU,97,Baylor,90,1,2,8,6,18,54,13,26,22,43,1510.74,1448.68,62.059999999999945,7
256,Arkansas-Pine Bluff,75,Southern,74,1,2,7,6,21,51,24,19,3,28,1111.27,1161.11,-49.83999999999992,1
258,Northwestern,64,UCLA,71,0,3,3,8,24,53,23,16,2,20,1421.44,1615.41,-193.97000000000003,-7
260,Boston College,64,Notre Dame,68,0,3,2,10,25,58,32,19,10,14,1317.58,1411.96,-94.38000000000011,-4
262,Central Michigan,65,Western Michigan,77,1,5,4,12,23,58,23,21,11,26,1115.34,1177.22,-61.88000000000011,-12
264,Idaho State,60,Montana,69,0,2,5,11,26,58,25,12,0,15,1176.31,1389.75,-213.44000000000005,-9
274,Seton Hall,60,DePaul,67,1,2,8,10,22,61,14,23,5,17,1467.4,1410.84,56.56000000000017,-7
278,UC Riverside,66,UC Davis,74,1,2,5,10,20,57,25,23,8,19,1212.25,1297.03,-84.77999999999997,-8
280,Portland State,69,Idaho,66,1,2,9,4,26,54,13,23,7,16,1341.13,1227.0,114.13000000000011,3
282,Sacramento State,67,Eastern Washington,75,2,1,4,5,20,44,17,19,5,28,1093.27,1084.45,8.819999999999936,-8
284,Tulsa,87,Rice,81,0,0,10,13,19,56,25,15,13,28,1498.8,1220.67,278.1299999999999,6
286,Texas A&M-Corpus Christi,79,Incarnate Word,71,0,1,12,13,24,48,14,18,12,36,1231.8,1128.85,102.95000000000005,8
290,Auburn,76,Florida,67,0,3,9,8,24,54,15,20,14,21,1640.92,1669.21,-28.289999999999964,9
292,Murray State,76,Northern Iowa,81,0,3,5,14,21,62,26,19,0,20,1444.73,1356.14,88.58999999999992,-5
296,Memphis,59,Wichita State,74,0,3,9,9,27,59,19,15,16,11,1450.87,1437.96,12.909999999999854,-15
298,Jackson State,48,Bethune-Cookman,85,0,3,6,11,25,67,29,18,0,10,1210.76,1270.66,-59.90000000000009,-37
304,Air Force,54,Boise State,96,1,3,1,4,15,48,22,20,0,11,1052.74,1504.17,-451.43000000000006,-42
306,North Dakota,93,Denver,86,2,4,8,12,25,60,24,24,19,32,1268.34,1133.67,134.66999999999985,7
308,Rider,61,Mount St. Mary's,71,1,2,5,19,19,63,17,16,5,19,1046.52,1260.19,-213.67000000000007,-10
310,Stephen F. Austin,88,Lamar,81,0,2,7,6,21,57,27,14,10,21,1411.9,1260.6,151.30000000000018,7
312,Missouri State,62,UTEP,57,0,2,6,6,30,45,18,16,6,23,1273.11,1188.32,84.78999999999996,5
